# lemma	features	form
# Mined weak-root residue: cells the rules do not reach (ה-final
# strong homographs, double-waw ל״ה, פ״נ, and lexical irregulars).
# Regenerate with scripts/heb/mine_overrides.py.
אבד	V;1;FUT;SG	אבד
אבה	V;1;FUT;SG	אבה
אהב	V;1;FUT;SG	אהב
אחז	V;1;FUT;SG	אוחז
אכל	V;1;FUT;SG	אוכל
אמר	V;1;FUT;SG	אומר
אפה	V;1;FUT;SG	אופה
האט	V;FEM;PRS;SG	מאטה
הגן	V;FEM;PRS;SG	מגינה
הוכה	V;FEM;PRS;SG	מוכית
הוראה	V;FEM;PRS;SG	מוראית
החל	V;FEM;PRS;SG	מחילה
היטגן	V;1;FUT;SG	אטגן
היטהר	V;1;FUT;SG	אטהר
היטנף	V;1;FUT;SG	אטנף
הסב	V;FEM;PRS;SG	מסבה
העז	V;FEM;PRS;SG	מעזה
הפר	V;FEM;PRS;SG	מפירה
הצל	V;FEM;PRS;SG	מצילה
הקל	V;FEM;PRS;SG	מקילה
הקר	V;FEM;PRS;SG	מקירה
הרע	V;FEM;PRS;SG	מריעה
התמהמה	V;1;PL;PST	התמהמהנו
התמהמה	V;1;PST;SG	התמהמהתי
התמהמה	V;2;FEM;FUT;PL	תתמהמהנה
התמהמה	V;2;FEM;FUT;SG	תתמהמהי
התמהמה	V;2;FEM;PL;PST	התמהמהתן
התמהמה	V;2;FEM;PST;SG	התמהמהת
התמהמה	V;2;FUT;MASC;PL	תתמהמהו
התמהמה	V;2;MASC;PL;PST	התמהמהתם
התמהמה	V;2;MASC;PST;SG	התמהמהת
התמהמה	V;3;FEM;FUT;PL	תתמהמהנה
התמהמה	V;3;FEM;PST;SG	התמהמהה
התמהמה	V;3;FUT;MASC;PL	יתמהמהו
התמהמה	V;3;PL;PST	התמהמהו
התמהמה	V;FEM;PL;PRS	מתמהמהות
התמהמה	V;FEM;PRS;SG	מתמהמהת
התמהמה	V;MASC;PL;PRS	מתמהמהים
חווה	V;2;FUT;MASC;PL	תחוו
חווה	V;3;FUT;MASC;PL	יחוו
חווה	V;3;PL;PST	חוו
חי	V;1;PL;PST	חיינו
חי	V;1;PST;SG	חייתי
חי	V;2;FEM;PL;PST	חייתן
חי	V;2;FEM;PST;SG	חיית
חי	V;2;MASC;PL;PST	חייתם
חי	V;2;MASC;PST;SG	חיית
יכול	V;3;FEM;PST;SG	יכלה
יכול	V;3;PL;PST	יכלו
יכול	V;FEM;PRS;SG	יכולה
כמה	V;1;PL;PST	כמהנו
כמה	V;1;PST;SG	כמהתי
כמה	V;2;FEM;FUT;PL	תכמהנה
כמה	V;2;FEM;FUT;SG	תכמהי
כמה	V;2;FEM;PL;PST	כמהתן
כמה	V;2;FEM;PST;SG	כמהת
כמה	V;2;FUT;MASC;PL	תכמהו
כמה	V;2;MASC;PL;PST	כמהתם
כמה	V;2;MASC;PST;SG	כמהת
כמה	V;3;FEM;FUT;PL	תכמהנה
כמה	V;3;FEM;PST;SG	כמהה
כמה	V;3;FUT;MASC;PL	יכמהו
כמה	V;3;PL;PST	כמהו
כמה	V;FEM;PL;PRS	כמהות
כמה	V;FEM;PRS;SG	כמהה
כמה	V;MASC;PL;PRS	כמהים
נבל	V;2;FEM;FUT;PL	תבלנה
נבל	V;3;FEM;FUT;PL	תבלנה
נגה	V;1;PL;PST	נגהנו
נגה	V;1;PST;SG	נגהתי
נגה	V;2;FEM;FUT;PL	תגהנה
נגה	V;2;FEM;FUT;SG	תגהי
נגה	V;2;FEM;PL;PST	נגהתן
נגה	V;2;FEM;PST;SG	נגהת
נגה	V;2;FUT;MASC;PL	תגהו
נגה	V;2;MASC;PL;PST	נגהתם
נגה	V;2;MASC;PST;SG	נגהת
